Task Text,Category,Difficulty,Deadline (days),Time Taken (hours),Importance
those calculus problems from class no rush,Homework,Medium,7,1.7,Low
prep for databases quiz,Quiz,Easy,2,1.3,High
do CHEM hw,Homework,Medium,5,2.4,Medium
lit midterm prep this week,Exam,Hard,5,6.1,Medium
oh no bioo exam tmr study literally tonight,Exam,Medium,1,3.9,High
solve calc problems 6 to 8,Homework,Easy,7,1.3,Low
dbms exam study due tmr,Exam,Hard,2,5.4,High
review chemm for quiz,Quiz,Hard,1,2.9,High
oh no software quiz lol whenever,Quiz,Hard,7,2.3,Low
review everything for physics exam - this week,Exam,Hard,3,6.6,Medium
finish bioo project urgent!!,Project,Easy,1,2.2,High
chemm presentation slides need to finish,Project,Easy,3,3.1,Medium
stats exam tmr study whenever,Exam,Hard,7,5.3,Low
English final project tmr 😭,Project,Medium,1,3.2,High
review database for quiz gotta do this,Quiz,Medium,4,1.2,Medium
stat project draft v1 lol whenever,Project,Hard,6,6.5,Low
hw nets ch3-4,Homework,Hard,6,3.2,Low
DB exam study scheduled,Exam,Medium,4,4.4,Medium
CHEM group project presentation,Project,Hard,3,5.1,Medium
algebra quiz tmr,Quiz,Hard,2,2.4,High
software hw?? ch10,Homework,Medium,3,1.5,Medium
finish PHYS project no rush,Project,Hard,7,4.5,Low
STATS hw sheet 1,Homework,Easy,3,1.4,Medium
quick dbms quiz study,Quiz,Easy,5,1.0,Medium
hw bio ch5-6,Homework,Medium,3,1.9,Medium
networking project report urgent!!,Project,Easy,1,3.0,High
MATH quiz 9 tmr,Quiz,Easy,2,1.0,High
that phys assignment someday,Homework,Hard,7,3.3,Low
CS project draft v3,Project,Hard,7,5.6,Low
revise stats for final - this week,Exam,Medium,5,4.0,Medium
physics presentation slides,Project,Medium,3,3.0,Medium
solve stats problems 6 to 12 ASAP!!,Homework,Medium,1,1.5,High
all nighter for review everything for nets exam tonight rn,Exam,Hard,1,5.9,High
submit CHEM assignment need to finish,Homework,Medium,4,2.6,Medium
CHEM quiz (ch4-6) tmr,Quiz,Easy,1,0.7,High
code assignment ch6,Homework,Hard,5,5.0,Medium
prep for bioo quiz idk when,Quiz,Easy,7,1.0,Low
prep for eng quiz tmr,Quiz,Hard,1,1.8,High
study for db final,Exam,Medium,4,4.9,Medium
deep learning finals study session need to finish,Exam,Medium,5,4.4,Medium
study for code midterm,Exam,Hard,5,6.0,Medium
research report stats,Project,Medium,3,4.6,Medium
